date,unemployment_value
1991-12-31,2.142
1992-12-31,2.11
1993-12-31,2.038
1994-12-31,1.972
1995-12-31,1.955
1996-12-31,1.93
1997-12-31,2.87
1998-12-31,2.29
1999-12-31,2.33
2000-12-31,2.26
2001-12-31,2.76
2002-12-31,2.12
2003-12-31,2.25
2004-12-31,2.14
2005-12-31,2.078
2006-12-31,2.046
2007-12-31,2.026
2008-12-31,1.889
2009-12-31,1.737
2010-12-31,1.114
2011-12-31,0.999
2012-12-31,1.027
2013-12-31,1.316
2014-12-31,1.256
2015-12-31,1.848
2016-12-31,1.848
2017-12-31,1.874
2018-12-31,1.161
2019-12-31,1.681
2020-12-31,2.103
2021-12-31,2.385
2022-12-31,1.523
2023-12-31,1.645
2024-12-31,1.431
